Observation id                                                                    	 Observation date   	 Description	 Observation type	 Source                                                                                      	 Time offset (s)	 Coding duration	 Media duration (s)	 FPS (frame/s)	 Subject         	 Observation duration by subject by observation	 Behavior           	 Behavioral category	 Behavior type	 Start (s)	 Stop (s)	 Duration (s)	 Media file name                                                                   	 Image index start	 Image index stop	 Image file path start	 Image file path stop	 Comment start	 Comment stop
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Unsupported Rearing	 Not defined        	 STATE        	    37.100	   37.800	        0.700	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              1113	 1134            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    41.533	   42.033	        0.500	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              1246	 1261            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    45.000	   45.433	        0.433	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              1350	 1363            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    58.867	   60.733	        1.866	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              1766	 1822            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    62.367	   63.000	        0.633	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              1871	 1890            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    74.367	   74.800	        0.433	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              2231	 2244            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    78.467	   79.933	        1.466	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              2354	 2398            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    84.367	   84.833	        0.466	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              2531	 2545            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	    91.567	   92.067	        0.500	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              2747	 2762            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Unsupported Rearing	 Not defined        	 STATE        	    92.833	   93.833	        1.000	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              2785	 2815            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Unsupported Rearing	 Not defined        	 STATE        	   101.733	  102.333	        0.600	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              3052	 3070            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Supported Rearing  	 General activity   	 STATE        	   103.500	  105.100	        1.600	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              3105	 3153            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Unsupported Rearing	 Not defined        	 STATE        	   105.967	  107.000	        1.033	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              3179	 3210            	                      	                     	              	 
F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	 2026-01-15 20:27:25	            	 Media file      	 player #1:F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	             0.0	         256.967	            306.233	       306.233	 No focal subject	                                         47.631	 Unsupported Rearing	 Not defined        	 STATE        	   109.767	  110.233	        0.466	 F:\Mestrado\comportamentos\Basal\merged\tra\1_LEVA_1_2024-06-04 14-42-49_A2CX1.mp4	              3293	 3307            	                      	                     	              	 
