scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,523.4082641601562,402.38330078125,0.9999994039535522,511.3241271972656,438.0006408691406,0.9999978542327881,540.3289794921875,436.8934326171875,0.9999998807907104,530.2304077148438,483.0973205566406,0.9999986886978149,524.5909423828125,529.3384399414062,0.9999984502792358
1,521.9462890625,401.99072265625,0.9999991655349731,511.48553466796875,439.54119873046875,0.9999903440475464,539.8243408203125,437.43505859375,0.9999997615814209,530.9306030273438,482.8092041015625,0.9999980926513672,524.028076171875,528.8359985351562,0.9999979734420776
2,521.8738403320312,401.7521057128906,0.9999992847442627,511.5661926269531,439.4079895019531,0.9999914169311523,539.7659301757812,437.324462890625,0.9999996423721313,530.9095458984375,482.9421691894531,0.9999984502792358,524.0331420898438,528.9554443359375,0.9999983310699463
3,521.3573608398438,401.5403747558594,0.999998927116394,510.84661865234375,437.9102783203125,0.9999971389770508,538.7769165039062,435.7392883300781,0.9999996423721313,530.364990234375,483.88824462890625,0.999998927116394,524.0098266601562,528.996337890625,0.9999979734420776
4,521.3517456054688,401.5614929199219,0.999998927116394,510.8515319824219,437.9176330566406,0.9999971389770508,538.770751953125,435.7419738769531,0.9999996423721313,530.375,483.9049377441406,0.999998927116394,524.0067138671875,528.99658203125,0.9999979734420776
5,521.3585205078125,400.9372253417969,0.999998927116394,509.8847961425781,436.8830871582031,0.9999983310699463,538.086669921875,435.73626708984375,0.9999995231628418,529.8612060546875,482.1376647949219,0.9999969005584717,523.4252319335938,528.7640380859375,0.9999983310699463
6,521.8803100585938,400.9902038574219,0.9999991655349731,509.28118896484375,437.8833312988281,0.9999983310699463,539.182373046875,436.4356994628906,0.9999995231628418,529.7615966796875,483.26568603515625,0.9999973773956299,524.1597900390625,529.5919189453125,0.9999986886978149
7,521.8795776367188,400.99017333984375,0.9999991655349731,509.2771301269531,437.8849792480469,0.9999983310699463,539.18359375,436.4346618652344,0.9999995231628418,529.7642211914062,483.2646484375,0.9999973773956299,524.167724609375,529.589599609375,0.9999986886978149
8,521.8795776367188,400.99017333984375,0.9999991655349731,509.2771301269531,437.8849792480469,0.9999983310699463,539.18359375,436.4346618652344,0.9999995231628418,529.7642211914062,483.2646484375,0.9999973773956299,524.167724609375,529.589599609375,0.9999986886978149
9,522.1195678710938,402.22625732421875,0.9999991655349731,510.6532287597656,438.23272705078125,0.9999967813491821,539.3444213867188,436.6893005371094,0.9999996423721313,529.8306274414062,483.4238586425781,0.9999983310699463,524.5405883789062,529.6333618164062,0.9999986886978149
10,523.1416625976562,402.22760009765625,0.9999996423721313,510.00311279296875,438.44732666015625,0.9999973773956299,539.443115234375,437.5299377441406,0.9999995231628418,529.7605590820312,483.1667175292969,0.9999964237213135,524.7781982421875,530.3482055664062,0.9999988079071045
11,523.169677734375,402.2824401855469,0.9999996423721313,510.015625,438.3909606933594,0.9999973773956299,539.5044555664062,437.5777587890625,0.9999995231628418,529.667724609375,483.1968688964844,0.9999964237213135,524.8009033203125,530.270751953125,0.9999988079071045
12,524.1420288085938,402.80224609375,0.9999995231628418,509.4207458496094,438.307861328125,0.9999972581863403,539.1570434570312,437.575439453125,0.9999996423721313,529.3414916992188,483.6510925292969,0.9999978542327881,524.1074829101562,530.1213989257812,0.999998927116394
13,524.14111328125,402.79986572265625,0.9999995231628418,509.42181396484375,438.30810546875,0.9999972581863403,539.1575317382812,437.57659912109375,0.9999996423721313,529.3404541015625,483.65087890625,0.9999978542327881,524.1079711914062,530.1216430664062,0.999998927116394
14,523.8091430664062,401.65350341796875,0.9999994039535522,510.0187072753906,438.3040466308594,0.9999973773956299,539.4566040039062,437.8271789550781,0.9999996423721313,529.9524536132812,483.5787353515625,0.9999971389770508,524.6597290039062,529.6522827148438,0.9999985694885254
15,523.8097534179688,401.65545654296875,0.9999994039535522,510.0177917480469,438.306396484375,0.9999973773956299,539.4596557617188,437.8258972167969,0.9999996423721313,529.95703125,483.5815734863281,0.9999971389770508,524.6527099609375,529.6527099609375,0.9999985694885254
16,523.112060546875,402.7341613769531,0.9999994039535522,510.5609436035156,439.4382629394531,0.9999929666519165,540.3436279296875,437.7695617675781,0.9999997615814209,530.7074584960938,484.7607727050781,0.9999988079071045,524.4696044921875,528.920166015625,0.9999982118606567
17,523.0369873046875,403.5415344238281,0.9999995231628418,509.2847595214844,438.8905334472656,0.9999951124191284,540.0748901367188,437.92755126953125,0.9999995231628418,529.8851928710938,483.6300048828125,0.999997615814209,524.4314575195312,528.9462890625,0.9999977350234985
18,523.0374145507812,403.5420227050781,0.9999995231628418,509.2849426269531,438.890380859375,0.9999951124191284,540.0761108398438,437.925537109375,0.9999995231628418,529.8851318359375,483.6281433105469,0.999997615814209,524.431884765625,528.9466552734375,0.9999977350234985
19,522.4059448242188,401.15545654296875,0.9999986886978149,509.7633972167969,437.0284118652344,0.9999986886978149,538.6432495117188,436.4366149902344,0.9999996423721313,529.8031005859375,482.8149719238281,0.9999955892562866,523.6846313476562,529.3504638671875,0.9999983310699463
